"Setting","真愛找麻煩","剩女保鏢","愛上巧克力","我們發財了"
"000001","0.0993630633895058","0.0964506573121867","0.0995198600107525","0.10891907779902"
"000010","0.10505448557278","0.0944312067195195","0.105067028380235","0.102436458573888"
"000011","NaN","0.100015041752849","0.0985812871739966","0.118484203079449"
"000100","0.0992497369743567","0.0920190208409247","0.0944046725580596","0.10664698171842"
"000101","0.0974974304995359","0.0942498383180247","0.14925472881418","0.110678004090976"
"000110","0.0948636269112521","0.115308795555467","0.0705738091183427","0.0913877282349116"
"000111","0.0833230018184636","0.132361249905362","0.0659131259290298","0.08187175699754"
"001000","0.167313523071053","0.225435969171842","0.182603938796443","0.205347708355783"
"001001","0.167046079651224","0.203755364943026","0.208107897137538","0.200921066904606"
"001010","0.226503765012876","0.486452111098525","0.2006186881908","0.352603771830153"
"001011","0.262385591103386","0.709014319677772","0.26629142081341","0.262599983755018"
"001100","0.209977488779638","0.141032296074345","0.185405670006686","0.223373488928574"
"001101","0.201589829810038","0.173252105431239","0.227721800050694","0.247343995876837"
"001110","NaN","0.198000023435323","0.489810375671617","0.0311180984151229"
"001111","NaN","0.251378060486259","0.439785008463774","NaN"
"010000","0.119676685543023","0.110390871759404","0.15055290166486","0.139171451994187"
"010001","0.130461267198174","0.113758983945196","0.150034583000295","0.140548178204554"
"010010","0.0995355829250483","0.0983503135513512","0.450053782266079","0.218070377304773"
"010011","0.134112560235124","0.125170551296075","0.215311663543868","0.23026931683672"
"010100","0.129609467330159","0.123601228243636","0.136814302171276","0.159788036186678"
"010101","0.136871234164704","0.128013606512755","0.186441356462229","0.139779821596014"
"010110","0.101606778267652","NaN","0.277134523937865","0.187083460008399"
"010111","0.117616617537897","NaN","0.225875798755621","0.180042492838068"
"011000","0.23236345951563","0.213376059555673","0.292889226780712","0.296263836964958"
"011001","0.251857997345054","0.208571240235097","0.319360533902927","0.239388536904277"
"011010","0.494764021143021","0.138910887035671","0.687425485882333","0.897530573242423"
"011011","0.496875835860935","0.178186588396994","0.587809003108929","0.374513770565389"
"011100","0.253536147258434","0.162454451321213","0.276685058245282","0.273293348284366"
"011101","0.262707141014956","0.170205560926734","0.366210113672098","0.27100123348064"
"011110","0.23878284389983","NaN","0.272399189594214","NaN"
"011111","0.305416619388918","NaN","0.558071006138899","0.417492377030775"
"100000","0.232719333473394","0.18681285941019","0.235076666925629","0.276817582393564"
"100001","0.203504332386097","0.182394740796513","0.213903750176058","0.261583697243601"
"100010","0.143273057402285","0.264072309195563","0.236250755351166","0.42450298758907"
"100011","0.16817541186095","0.12798721745366","0.165597681828593","0.377491202089961"
"100100","0.222870665438478","0.225852226946554","0.302238372006202","0.207152818924564"
"100101","0.231031982978212","0.257024237504111","0.282219272283168","0.244608981467225"
"100110","0.280078669015085","0.373448461347625","0.489570480256898","0.138811049975549"
"100111","0.250456978095418","0.262364220708206","0.37087015872658","0.200282103395286"
"101000","0.295888277335133","0.306982019098866","0.460818791309085","0.307928060329153"
"101001","0.378250539102615","0.275204052809401","0.528786754272155","0.357604046157038"
"101010","0.408500397780503","0.533750785019483","0.436523663330292","0.5359335036647"
"101011","0.362019614912514","0.531346027113807","0.643452535077286","0.662349127331702"
"101100","0.422006623054015","0.280132152557251","0.679765609388087","0.638996675035283"
"101101","0.543688959115463","0.304526604636514","0.69124576173477","0.427403708112938"
"101110","0.558347521123352","0.275155759424775","0.621830572738956","0.208443832954157"
"101111","0.465742453862649","0.138898220212759","0.542573692978264","0.21958700409823"
"110000","0.249086292241738","0.177786689705013","0.325495731280389","0.320758107140877"
"110001","0.242821733949189","0.234677012714138","0.519555010068752","0.294679436559599"
"110010","0.385195700972908","0.258983885487689","0.627534893317463","0.430732058536691"
"110011","0.364455573524009","0.341684800516331","0.880146879161245","0.55006279102557"
"110100","0.279031806515924","0.223765227257405","0.366024842896397","0.331268419767105"
"110101","0.317160693105624","0.237763414492014","0.368212685854306","0.267103104500453"
"110110","0.154441672243364","0.134736951611541","0.921318300896937","0.33473844176539"
"110111","0.190499401279044","0.148183281077861","0.784004649193997","0.271375999912054"
"111000","0.368241329708491","0.25595504365327","0.592112061785705","0.746583135091292"
"111001","0.42477499840775","0.306260016486583","1.61083870270583","0.583321622898059"
"111010","0.390021696955341","0.383955758844023","0.888914093421602","0.422475991491017"
"111011","0.416066901322681","0.449013623079389","1.82095110591707","0.527912099438034"
"111100","0.41049509015771","0.426834006848089","1.29282018633685","0.570362201798399"
"111101","0.57738321495931","0.423789687782117","1.12969289233479","0.660212726740732"
"111110","0.179795127379001","NaN","2.05773008273133","0.231587909902078"
"111111","0.335536790848335","NaN","1.18093092482215","0.148679181225159"
