Drama,Episode,PostPositive_0,PostNegative_0,CommentPositive_0,CommentNegative_0,PostPositive_1,PostNegative_1,CommentPositive_1,CommentNegative_1,PostPositive_2,PostNegative_2,CommentPositive_2,CommentNegative_2,PostPositive_3,PostNegative_3,CommentPositive_3,CommentNegative_3
真愛找麻煩,57,1448,998,2282,1396,1560,1107,1770,1103,1312,1010,1782,1192,300,158,524,264
真愛找麻煩,58,1521,1046,2306,1558,1448,998,2282,1396,1560,1107,1770,1103,1312,1010,1782,1192
真愛找麻煩,59,454,232,863,417,1514,1035,2095,1309,2016,1588,2259,1553,1521,1046,2306,1558
真愛找麻煩,60,2122,1957,2753,2026,454,232,863,417,1514,1035,2095,1309,2016,1588,2259,1553
真愛找麻煩,61,2680,2075,2979,2306,2122,1957,2753,2026,454,232,863,417,1514,1035,2095,1309
真愛找麻煩,62,2794,2077,3096,1974,2680,2075,2979,2306,2122,1957,2753,2026,454,232,863,417
真愛找麻煩,63,3236,2684,3671,2624,2794,2077,3096,1974,2680,2075,2979,2306,2122,1957,2753,2026
真愛找麻煩,64,1967,1610,2461,1876,4832,4830,5185,4651,6887,8049,5629,5208,3236,2684,3671,2624
真愛找麻煩,65,3005,2451,3258,2355,1967,1610,2461,1876,4832,4830,5185,4651,6887,8049,5629,5208
真愛找麻煩,66,3290,2595,3409,2446,3005,2451,3258,2355,1967,1610,2461,1876,4832,4830,5185,4651
真愛找麻煩,67,3410,2467,3897,2637,3290,2595,3409,2446,3005,2451,3258,2355,1967,1610,2461,1876
真愛找麻煩,68,2542,1835,3783,2560,3410,2467,3897,2637,3290,2595,3409,2446,3005,2451,3258,2355
真愛找麻煩,69,1463,791,1729,1125,2009,1260,2255,1527,3191,2114,3664,2363,2542,1835,3783,2560
真愛找麻煩,70,2599,1601,3298,1825,1463,791,1729,1125,2009,1260,2255,1527,3191,2114,3664,2363
真愛找麻煩,71,2835,1663,3837,2034,2599,1601,3298,1825,1463,791,1729,1125,2009,1260,2255,1527
真愛找麻煩,72,2655,1403,3047,1592,2835,1663,3837,2034,2599,1601,3298,1825,1463,791,1729,1125
真愛找麻煩,73,2239,1243,2623,1518,2655,1403,3047,1592,2835,1663,3837,2034,2599,1601,3298,1825
真愛找麻煩,74,816,487,1101,578,1178,656,2055,1135,1919,955,3182,1862,2239,1243,2623,1518
真愛找麻煩,75,1780,1113,2915,1553,816,487,1101,578,1178,656,2055,1135,1919,955,3182,1862
真愛找麻煩,76,1722,1007,2132,1184,1780,1113,2915,1553,816,487,1101,578,1178,656,2055,1135
真愛找麻煩,77,1750,992,2473,1100,1722,1007,2132,1184,1780,1113,2915,1553,816,487,1101,578
真愛找麻煩,78,1749,956,2253,1010,1750,992,2473,1100,1722,1007,2132,1184,1780,1113,2915,1553
真愛找麻煩,79,639,275,1338,631,1452,840,2378,1113,2224,1126,2085,1043,1749,956,2253,1010
真愛找麻煩,80,1864,1175,2676,1028,639,275,1338,631,1452,840,2378,1113,2224,1126,2085,1043
真愛找麻煩,81,2198,1091,2238,1064,1864,1175,2676,1028,639,275,1338,631,1452,840,2378,1113
真愛找麻煩,82,2747,1322,2486,1206,2198,1091,2238,1064,1864,1175,2676,1028,639,275,1338,631
真愛找麻煩,83,2466,1068,2368,988,2747,1322,2486,1206,2198,1091,2238,1064,1864,1175,2676,1028
真愛找麻煩,84,1592,846,1468,772,2002,959,2288,1156,2325,1326,2668,1261,2466,1068,2368,988
剩女保鑣,1,49,6,37,9,17,3,15,7,2,5,8,8,23,5,48,26
剩女保鑣,2,198,52,333,59,49,6,37,9,17,3,15,7,2,5,8,8
剩女保鑣,3,129,24,252,53,198,52,333,59,49,6,37,9,17,3,15,7
剩女保鑣,4,177,45,178,56,129,24,252,53,198,52,333,59,49,6,37,9
剩女保鑣,5,21,3,84,20,59,22,167,55,109,32,237,52,177,45,178,56
剩女保鑣,6,113,42,250,99,21,3,84,20,59,22,167,55,109,32,237,52
剩女保鑣,7,165,67,468,182,113,42,250,99,21,3,84,20,59,22,167,55
剩女保鑣,8,195,107,523,300,165,67,468,182,113,42,250,99,21,3,84,20
剩女保鑣,9,241,125,658,267,195,107,523,300,165,67,468,182,113,42,250,99
剩女保鑣,10,65,26,346,82,124,47,770,217,236,93,926,311,241,125,658,267
剩女保鑣,11,113,67,390,111,65,26,346,82,124,47,770,217,236,93,926,311
剩女保鑣,12,197,125,397,218,113,67,390,111,65,26,346,82,124,47,770,217
剩女保鑣,13,253,171,647,438,197,125,397,218,113,67,390,111,65,26,346,82
剩女保鑣,14,173,76,454,166,253,171,647,438,197,125,397,218,113,67,390,111
剩女保鑣,15,89,28,629,262,63,29,218,101,129,55,411,136,173,76,454,166
剩女保鑣,16,100,53,366,181,89,28,629,262,63,29,218,101,129,55,411,136
剩女保鑣,17,214,119,643,322,100,53,366,181,89,28,629,262,63,29,218,101
剩女保鑣,18,244,110,516,283,214,119,643,322,100,53,366,181,89,28,629,262
剩女保鑣,19,172,97,630,214,244,110,516,283,214,119,643,322,100,53,366,181
剩女保鑣,20,98,26,545,108,124,56,504,238,227,105,890,469,172,97,630,214
剩女保鑣,21,150,60,530,222,98,26,545,108,124,56,504,238,227,105,890,469
剩女保鑣,22,233,112,819,435,150,60,530,222,98,26,545,108,124,56,504,238
剩女保鑣,23,164,99,763,285,233,112,819,435,150,60,530,222,98,26,545,108
剩女保鑣,24,191,94,1258,199,164,99,763,285,233,112,819,435,150,60,530,222
剩女保鑣,25,33,18,210,64,137,58,412,165,313,138,875,364,191,94,1258,199
剩女保鑣,26,84,54,246,89,33,18,210,64,137,58,412,165,313,138,875,364
剩女保鑣,27,66,42,384,170,84,54,246,89,33,18,210,64,137,58,412,165
剩女保鑣,28,144,65,396,172,66,42,384,170,84,54,246,89,33,18,210,64
剩女保鑣,29,351,95,5180,139,144,65,396,172,66,42,384,170,84,54,246,89
剩女保鑣,30,95,44,360,151,169,119,551,203,256,145,495,224,351,95,5180,139
剩女保鑣,31,163,87,377,161,95,44,360,151,169,119,551,203,256,145,495,224
剩女保鑣,32,311,163,463,257,163,87,377,161,95,44,360,151,169,119,551,203
剩女保鑣,33,267,121,442,189,311,163,463,257,163,87,377,161,95,44,360,151
剩女保鑣,34,217,100,523,210,267,121,442,189,311,163,463,257,163,87,377,161
剩女保鑣,35,109,33,341,102,194,88,609,283,294,158,671,291,217,100,523,210
剩女保鑣,36,210,74,599,246,109,33,341,102,194,88,609,283,294,158,671,291
剩女保鑣,37,361,183,702,298,210,74,599,246,109,33,341,102,194,88,609,283
剩女保鑣,38,212,91,413,135,361,183,702,298,210,74,599,246,109,33,341,102
剩女保鑣,39,361,179,470,173,212,91,413,135,361,183,702,298,210,74,599,246
剩女保鑣,40,68,26,259,76,230,87,464,167,302,141,1120,346,361,179,470,173
剩女保鑣,41,269,161,554,162,68,26,259,76,230,87,464,167,302,141,1120,346
剩女保鑣,42,291,158,374,197,269,161,554,162,68,26,259,76,230,87,464,167
剩女保鑣,43,363,206,461,243,291,158,374,197,269,161,554,162,68,26,259,76
剩女保鑣,44,486,337,799,499,363,206,461,243,291,158,374,197,269,161,554,162
剩女保鑣,45,143,46,233,108,245,147,669,353,725,409,1287,680,486,337,799,499
剩女保鑣,46,379,291,940,675,143,46,233,108,245,147,669,353,725,409,1287,680
剩女保鑣,47,532,350,1444,835,379,291,940,675,143,46,233,108,245,147,669,353
剩女保鑣,48,676,390,1513,920,532,350,1444,835,379,291,940,675,143,46,233,108
剩女保鑣,49,418,310,1122,670,676,390,1513,920,532,350,1444,835,379,291,940,675
剩女保鑣,50,136,51,413,164,285,166,406,237,579,342,1424,829,418,310,1122,670
剩女保鑣,51,513,370,1143,717,136,51,413,164,285,166,406,237,579,342,1424,829
剩女保鑣,52,1024,760,1507,890,513,370,1143,717,136,51,413,164,285,166,406,237
剩女保鑣,53,795,561,927,647,1024,760,1507,890,513,370,1143,717,136,51,413,164
剩女保鑣,54,895,624,1407,953,795,561,927,647,1024,760,1507,890,513,370,1143,717
剩女保鑣,55,334,235,504,197,436,273,655,359,979,684,1633,932,895,624,1407,953
剩女保鑣,56,787,486,894,446,334,235,504,197,436,273,655,359,979,684,1633,932
剩女保鑣,57,958,569,1718,998,787,486,894,446,334,235,504,197,436,273,655,359
剩女保鑣,58,650,406,1636,926,958,569,1718,998,787,486,894,446,334,235,504,197
剩女保鑣,59,770,520,1022,565,650,406,1636,926,958,569,1718,998,787,486,894,446
剩女保鑣,60,353,159,533,226,587,371,1168,597,966,626,1787,1185,770,520,1022,565
剩女保鑣,61,479,282,888,493,353,159,533,226,587,371,1168,597,966,626,1787,1185
剩女保鑣,62,811,611,1310,945,479,282,888,493,353,159,533,226,587,371,1168,597
剩女保鑣,63,631,406,2052,1270,811,611,1310,945,479,282,888,493,353,159,533,226
剩女保鑣,64,797,409,1143,448,631,406,2052,1270,811,611,1310,945,479,282,888,493
剩女保鑣,65,138,78,269,103,213,98,422,267,559,279,754,385,797,409,1143,448
剩女保鑣,66,355,186,479,307,138,78,269,103,213,98,422,267,559,279,754,385
剩女保鑣,67,958,644,1177,829,355,186,479,307,138,78,269,103,213,98,422,267
剩女保鑣,68,612,448,1145,830,958,644,1177,829,355,186,479,307,138,78,269,103
剩女保鑣,69,937,675,1460,1120,612,448,1145,830,958,644,1177,829,355,186,479,307
剩女保鑣,70,137,102,147,91,230,148,549,337,760,649,1210,815,937,675,1460,1120
剩女保鑣,71,326,164,1456,1083,137,102,147,91,230,148,549,337,760,649,1210,815
剩女保鑣,72,416,238,736,520,326,164,1456,1083,137,102,147,91,230,148,549,337
剩女保鑣,73,381,250,903,459,416,238,736,520,326,164,1456,1083,137,102,147,91
剩女保鑣,74,91,50,376,204,222,113,771,417,202,89,775,465,332,175,1073,574
剩女保鑣,75,187,102,579,354,91,50,376,204,222,113,771,417,202,89,775,465
剩女保鑣,76,378,270,766,580,187,102,579,354,91,50,376,204,222,113,771,417
剩女保鑣,77,762,549,1897,1522,378,270,766,580,187,102,579,354,91,50,376,204
剩女保鑣,78,75,35,1200,1019,97,30,1081,840,390,272,1199,981,500,399,1691,1367
剩女保鑣,79,285,239,951,675,75,35,1200,1019,97,30,1081,840,390,272,1199,981
剩女保鑣,80,427,259,821,484,285,239,951,675,75,35,1200,1019,97,30,1081,840
剩女保鑣,81,566,453,1124,830,427,259,821,484,285,239,951,675,75,35,1200,1019
剩女保鑣,82,156,102,1238,862,610,323,1825,1483,635,444,1539,1175,1077,941,1532,1155
愛上巧克力,1,73,13,33,5,8,2,9,3,3,1,9,2,21,2,25,11
愛上巧克力,2,154,36,144,48,73,13,33,5,8,2,9,3,3,1,9,2
愛上巧克力,3,173,46,125,53,154,36,144,48,73,13,33,5,8,2,9,3
愛上巧克力,4,109,44,167,43,173,46,125,53,154,36,144,48,73,13,33,5
愛上巧克力,5,35,6,134,63,90,19,83,26,107,51,73,27,109,44,167,43
愛上巧克力,6,90,16,75,15,35,6,134,63,90,19,83,26,107,51,73,27
愛上巧克力,7,66,18,132,71,90,16,75,15,35,6,134,63,90,19,83,26
愛上巧克力,8,138,46,136,73,66,18,132,71,90,16,75,15,35,6,134,63
愛上巧克力,9,107,59,141,51,138,46,136,73,66,18,132,71,90,16,75,15
愛上巧克力,10,83,12,37,9,56,20,100,38,105,30,147,33,107,59,141,51
愛上巧克力,11,76,30,82,22,83,12,37,9,56,20,100,38,105,30,147,33
愛上巧克力,12,76,26,187,63,76,30,82,22,83,12,37,9,56,20,100,38
愛上巧克力,13,70,15,123,59,76,26,187,63,76,30,82,22,83,12,37,9
愛上巧克力,14,89,41,291,98,70,15,123,59,76,26,187,63,76,30,82,22
愛上巧克力,15,53,13,38,4,35,29,119,66,95,40,176,81,89,41,291,98
愛上巧克力,16,95,47,124,61,53,13,38,4,35,29,119,66,95,40,176,81
愛上巧克力,17,91,60,278,100,95,47,124,61,53,13,38,4,35,29,119,66
愛上巧克力,18,90,38,213,56,91,60,278,100,95,47,124,61,53,13,38,4
愛上巧克力,19,224,98,519,207,90,38,213,56,91,60,278,100,95,47,124,61
愛上巧克力,20,69,25,140,86,142,37,198,110,199,85,490,231,224,98,519,207
愛上巧克力,21,105,27,88,33,69,25,140,86,142,37,198,110,199,85,490,231
愛上巧克力,22,127,58,198,84,105,27,88,33,69,25,140,86,142,37,198,110
愛上巧克力,23,131,58,257,149,127,58,198,84,105,27,88,33,69,25,140,86
愛上巧克力,24,208,86,226,92,131,58,257,149,127,58,198,84,105,27,88,33
愛上巧克力,25,39,15,147,60,122,49,171,90,114,51,365,139,208,86,226,92
愛上巧克力,26,130,42,203,104,39,15,147,60,122,49,171,90,114,51,365,139
愛上巧克力,27,105,50,249,120,130,42,203,104,39,15,147,60,122,49,171,90
愛上巧克力,28,197,55,332,129,105,50,249,120,130,42,203,104,39,15,147,60
愛上巧克力,29,123,83,389,199,197,55,332,129,105,50,249,120,130,42,203,104
愛上巧克力,30,97,42,179,126,97,65,279,144,181,96,338,178,123,83,389,199
愛上巧克力,31,161,78,294,121,97,42,179,126,97,65,279,144,181,96,338,178
愛上巧克力,32,186,94,519,259,161,78,294,121,97,42,179,126,97,65,279,144
愛上巧克力,33,205,111,663,377,186,94,519,259,161,78,294,121,97,42,179,126
愛上巧克力,34,234,90,722,365,205,111,663,377,186,94,519,259,161,78,294,121
愛上巧克力,35,151,70,346,165,188,82,379,185,307,131,649,353,234,90,722,365
愛上巧克力,36,192,107,509,275,151,70,346,165,188,82,379,185,307,131,649,353
愛上巧克力,37,284,125,768,438,192,107,509,275,151,70,346,165,188,82,379,185
愛上巧克力,38,250,153,642,339,284,125,768,438,192,107,509,275,151,70,346,165
愛上巧克力,39,308,159,805,541,250,153,642,339,284,125,768,438,192,107,509,275
愛上巧克力,40,128,60,358,136,338,179,532,278,366,143,758,361,308,159,805,541
愛上巧克力,41,120,79,244,114,128,60,358,136,338,179,532,278,366,143,758,361
愛上巧克力,42,224,154,442,203,120,79,244,114,128,60,358,136,338,179,532,278
愛上巧克力,43,266,138,282,109,224,154,442,203,120,79,244,114,128,60,358,136
愛上巧克力,44,202,125,359,202,266,138,282,109,224,154,442,203,120,79,244,114
愛上巧克力,45,160,76,431,245,204,92,578,257,165,117,457,354,202,125,359,202
愛上巧克力,46,329,183,567,312,192,98,638,213,160,76,431,245,204,92,578,257
愛上巧克力,47,289,238,611,334,329,183,567,312,192,98,638,213,160,76,431,245
愛上巧克力,48,564,284,765,313,289,238,611,334,329,183,567,312,192,98,638,213
愛上巧克力,49,120,72,688,378,296,207,787,380,427,168,995,503,564,284,765,313
愛上巧克力,50,270,133,600,301,120,72,688,378,296,207,787,380,427,168,995,503
愛上巧克力,51,376,282,821,597,270,133,600,301,120,72,688,378,296,207,787,380
愛上巧克力,52,580,330,852,579,376,282,821,597,270,133,600,301,120,72,688,378
愛上巧克力,53,457,329,1028,682,580,330,852,579,376,282,821,597,270,133,600,301
愛上巧克力,54,116,48,469,208,211,117,722,414,689,389,1887,1015,457,329,1028,682
愛上巧克力,55,272,156,630,386,116,48,469,208,211,117,722,414,689,389,1887,1015
愛上巧克力,56,555,294,890,440,272,156,630,386,116,48,469,208,211,117,722,414
愛上巧克力,57,403,209,1286,525,555,294,890,440,272,156,630,386,116,48,469,208
愛上巧克力,58,1254,1371,1861,1573,403,209,1286,525,555,294,890,440,272,156,630,386
愛上巧克力,59,91,26,283,188,329,254,751,532,1219,919,2264,2020,1254,1371,1861,1573
愛上巧克力,60,384,210,896,514,91,26,283,188,329,254,751,532,1219,919,2264,2020
愛上巧克力,61,732,477,1896,1207,384,210,896,514,91,26,283,188,329,254,751,532
愛上巧克力,62,822,498,1590,1087,732,477,1896,1207,384,210,896,514,91,26,283,188
愛上巧克力,63,754,476,1379,1080,822,498,1590,1087,732,477,1896,1207,384,210,896,514
愛上巧克力,64,241,125,497,240,235,177,461,295,720,418,1397,948,754,476,1379,1080
愛上巧克力,65,353,281,885,521,241,125,497,240,235,177,461,295,720,418,1397,948
愛上巧克力,66,615,451,1483,962,353,281,885,521,241,125,497,240,235,177,461,295
愛上巧克力,67,1209,1112,2156,1645,615,451,1483,962,353,281,885,521,241,125,497,240
愛上巧克力,68,1953,1749,3646,3272,1209,1112,2156,1645,615,451,1483,962,353,281,885,521
愛上巧克力,69,296,274,938,710,894,788,1842,1666,1986,2039,3294,3109,1953,1749,3646,3272
愛上巧克力,70,708,581,1125,901,296,274,938,710,894,788,1842,1666,1986,2039,3294,3109
愛上巧克力,71,697,503,1482,1162,708,581,1125,901,296,274,938,710,894,788,1842,1666
愛上巧克力,72,1255,1184,1737,1268,697,503,1482,1162,708,581,1125,901,296,274,938,710
愛上巧克力,73,1261,1210,2963,2749,1255,1184,1737,1268,697,503,1482,1162,708,581,1125,901
愛上巧克力,74,225,145,655,388,481,483,1328,961,1152,946,2503,1984,1261,1210,2963,2749
愛上巧克力,75,472,285,1633,978,225,145,655,388,481,483,1328,961,1152,946,2503,1984
愛上巧克力,76,625,373,1674,899,472,285,1633,978,225,145,655,388,481,483,1328,961
愛上巧克力,77,523,245,1489,554,625,373,1674,899,472,285,1633,978,225,145,655,388
愛上巧克力,78,609,312,1995,876,523,245,1489,554,625,373,1674,899,472,285,1633,978
愛上巧克力,79,242,93,468,175,459,248,1074,502,607,311,1415,661,609,312,1995,876
我們發財了,1,32,6,25,7,21,2,37,9,2,0,25,10,12,0,69,10
我們發財了,2,128,24,179,49,32,6,25,7,21,2,37,9,2,0,25,10
我們發財了,3,74,21,280,73,128,24,179,49,32,6,25,7,21,2,37,9
我們發財了,4,7,1,24,5,23,11,70,25,88,14,123,37,74,21,280,73
我們發財了,5,37,7,52,22,7,1,24,5,23,11,70,25,88,14,123,37
我們發財了,6,82,14,76,31,37,7,52,22,7,1,24,5,23,11,70,25
我們發財了,7,85,26,127,52,82,14,76,31,37,7,52,22,7,1,24,5
我們發財了,8,72,23,89,38,85,26,127,52,82,14,76,31,37,7,52,22
我們發財了,9,26,4,26,3,38,21,41,13,32,8,117,32,72,23,89,38
我們發財了,10,39,25,96,65,26,4,26,3,38,21,41,13,32,8,117,32
我們發財了,11,43,30,102,58,39,25,96,65,26,4,26,3,38,21,41,13
我們發財了,12,79,45,97,61,43,30,102,58,39,25,96,65,26,4,26,3
我們發財了,13,54,22,158,70,79,45,97,61,43,30,102,58,39,25,96,65
我們發財了,14,9,2,71,23,82,31,182,63,63,26,113,27,54,22,158,70
我們發財了,15,60,13,220,76,9,2,71,23,82,31,182,63,63,26,113,27
我們發財了,16,106,36,219,71,60,13,220,76,9,2,71,23,82,31,182,63
我們發財了,17,102,29,233,69,106,36,219,71,60,13,220,76,9,2,71,23
我們發財了,18,125,51,463,173,102,29,233,69,106,36,219,71,60,13,220,76
我們發財了,19,25,3,108,57,111,40,324,179,147,64,626,309,125,51,463,173
我們發財了,20,45,27,243,128,25,3,108,57,111,40,324,179,147,64,626,309
我們發財了,21,62,58,460,297,45,27,243,128,25,3,108,57,111,40,324,179
我們發財了,22,146,99,899,372,62,58,460,297,45,27,243,128,25,3,108,57
我們發財了,23,178,91,796,341,146,99,899,372,62,58,460,297,45,27,243,128
我們發財了,24,7,5,60,24,84,36,286,124,141,81,518,261,178,91,796,341
我們發財了,25,93,49,365,230,7,5,60,24,84,36,286,124,141,81,518,261
我們發財了,26,138,84,448,205,93,49,365,230,7,5,60,24,84,36,286,124
我們發財了,27,169,103,392,264,138,84,448,205,93,49,365,230,7,5,60,24
我們發財了,28,126,62,209,103,169,103,392,264,138,84,448,205,93,49,365,230
我們發財了,29,95,29,304,136,165,75,416,203,217,100,717,362,126,62,209,103
我們發財了,30,126,73,320,171,95,29,304,136,165,75,416,203,217,100,717,362
我們發財了,31,272,156,1417,263,126,73,320,171,95,29,304,136,165,75,416,203
我們發財了,32,219,147,616,373,272,156,1417,263,126,73,320,171,95,29,304,136
我們發財了,33,248,124,451,231,219,147,616,373,272,156,1417,263,126,73,320,171
我們發財了,34,55,14,130,54,129,72,428,198,221,121,312,192,248,124,451,231
我們發財了,35,136,69,259,124,55,14,130,54,129,72,428,198,221,121,312,192
我們發財了,36,274,128,593,316,136,69,259,124,55,14,130,54,129,72,428,198
我們發財了,37,265,133,666,302,274,128,593,316,136,69,259,124,55,14,130,54
我們發財了,38,448,309,2602,656,265,133,666,302,274,128,593,316,136,69,259,124
我們發財了,39,65,36,218,120,69,51,433,211,438,315,1400,769,448,309,2602,656
我們發財了,40,234,146,255,151,65,36,218,120,69,51,433,211,438,315,1400,769
我們發財了,41,205,143,442,235,234,146,255,151,65,36,218,120,69,51,433,211
我們發財了,42,331,198,599,339,205,143,442,235,234,146,255,151,65,36,218,120
我們發財了,43,398,267,908,633,331,198,599,339,205,143,442,235,234,146,255,151
我們發財了,44,25,10,124,61,267,159,439,333,557,375,1299,908,398,267,908,633
我們發財了,45,269,222,739,512,25,10,124,61,267,159,439,333,557,375,1299,908
我們發財了,46,591,501,1770,1196,269,222,739,512,25,10,124,61,267,159,439,333
我們發財了,47,402,278,943,580,591,501,1770,1196,269,222,739,512,25,10,124,61
我們發財了,48,465,311,597,372,402,278,943,580,591,501,1770,1196,269,222,739,512
我們發財了,49,63,37,479,307,271,204,615,437,410,288,684,473,465,311,597,372
我們發財了,50,264,140,684,449,63,37,479,307,271,204,615,437,410,288,684,473
我們發財了,51,319,246,867,529,264,140,684,449,63,37,479,307,271,204,615,437
我們發財了,52,259,155,670,361,319,246,867,529,264,140,684,449,63,37,479,307
我們發財了,53,324,200,522,317,259,155,670,361,319,246,867,529,264,140,684,449
我們發財了,54,49,16,251,169,234,126,428,223,365,211,952,475,324,200,522,317
我們發財了,55,181,94,890,478,49,16,251,169,234,126,428,223,365,211,952,475
我們發財了,56,452,229,2523,669,181,94,890,478,49,16,251,169,234,126,428,223
我們發財了,57,452,283,991,533,452,229,2523,669,181,94,890,478,49,16,251,169
我們發財了,58,425,225,639,411,452,283,991,533,452,229,2523,669,181,94,890,478
我們發財了,59,30,9,280,178,262,157,458,285,358,220,739,400,425,225,639,411
我們發財了,60,112,85,332,176,30,9,280,178,262,157,458,285,358,220,739,400
我們發財了,61,224,142,277,147,112,85,332,176,30,9,280,178,262,157,458,285
我們發財了,62,228,110,494,272,224,142,277,147,112,85,332,176,30,9,280,178
我們發財了,63,249,144,2126,356,228,110,494,272,224,142,277,147,112,85,332,176
