"Drama","Episode","Ratings_1"
"愛上巧克力",41,1.79
"愛上巧克力",42,1.79
"愛上巧克力",43,1.79
"愛上巧克力",44,1.79
"愛上巧克力",45,1.79
"愛上巧克力",46,1.79
"愛上巧克力",47,1.79
"愛上巧克力",48,1.79
"愛上巧克力",49,1.79
"愛上巧克力",50,1.79
"愛上巧克力",51,1.79
"愛上巧克力",52,1.79
"愛上巧克力",53,1.79
"愛上巧克力",54,1.79
"愛上巧克力",55,1.79
"愛上巧克力",56,1.79
"愛上巧克力",57,1.79
"愛上巧克力",58,1.79
"愛上巧克力",59,1.79
"愛上巧克力",60,1.79
"愛上巧克力",61,1.79
"愛上巧克力",62,1.79
"愛上巧克力",63,1.79
"愛上巧克力",64,1.79
"愛上巧克力",65,1.79
"愛上巧克力",66,1.79
"愛上巧克力",67,1.79
"愛上巧克力",68,1.79
"愛上巧克力",69,1.79
"愛上巧克力",70,1.79
"愛上巧克力",71,1.79
"愛上巧克力",72,1.79
"愛上巧克力",73,1.79
"愛上巧克力",74,1.79
"愛上巧克力",75,1.79
"愛上巧克力",76,1.79
"愛上巧克力",77,1.79
"愛上巧克力",78,1.79
"愛上巧克力",79,1.79
"我們發財了",1,1.88
"我們發財了",2,1.88
"我們發財了",3,1.88
"我們發財了",4,1.88
"我們發財了",5,1.88
"我們發財了",6,1.88
"我們發財了",7,1.88
"我們發財了",8,1.88
"我們發財了",9,1.88
"我們發財了",10,1.88
"我們發財了",11,1.88
"我們發財了",12,1.88
"我們發財了",13,1.88
"我們發財了",14,1.88
"我們發財了",15,1.88
"我們發財了",16,1.88
"我們發財了",17,1.88
"我們發財了",18,1.88
"我們發財了",19,1.88
"我們發財了",20,1.88
"我們發財了",21,1.88
"我們發財了",22,1.88
"我們發財了",23,1.88
"我們發財了",24,1.88
"我們發財了",25,1.88
"我們發財了",26,1.88
"我們發財了",27,1.88
"我們發財了",28,1.88
"我們發財了",29,1.88
"我們發財了",30,1.88
"我們發財了",31,1.88
"我們發財了",32,1.88
"我們發財了",33,1.88
"我們發財了",34,1.88
"我們發財了",35,1.88
"我們發財了",36,1.88
"我們發財了",37,1.88
"我們發財了",38,1.88
"我們發財了",39,1.88
"我們發財了",40,1.88
"我們發財了",41,1.88
"我們發財了",42,1.88
"我們發財了",43,1.88
"我們發財了",44,1.88
"我們發財了",45,1.88
"我們發財了",46,1.88
"我們發財了",47,1.88
"我們發財了",48,1.88
"我們發財了",49,1.88
"我們發財了",50,1.88
"我們發財了",51,1.88
"我們發財了",52,1.88
"我們發財了",53,1.88
"我們發財了",54,1.88
"我們發財了",55,1.88
"我們發財了",56,1.88
"我們發財了",57,1.88
"我們發財了",58,1.88
