Drama,Episode,Drama_0,MaleMain_0,FemaleMain_0,Drama_1,MaleMain_1,FemaleMain_1,Drama_2,MaleMain_2,FemaleMain_2,Drama_3,MaleMain_3,FemaleMain_3
螺絲小姐要出嫁,8,71,79,61,37,32,29,14,16,15,12,19,10
螺絲小姐要出嫁,9,74,68,57,46,52,40,18,20,15,20,23,16
螺絲小姐要出嫁,10,61,58,48,30,30,25,23,22,18,19,21,14
螺絲小姐要出嫁,11,74,75,60,34,33,30,15,18,10,20,21,15
螺絲小姐要出嫁,12,65,74,53,43,42,34,20,21,18,25,24,19
螺絲小姐要出嫁,13,72,82,60,36,37,30,23,24,17,21,19,15
螺絲小姐要出嫁,14,69,71,51,38,43,34,22,24,15,23,24,19
螺絲小姐要出嫁,15,65,66,54,31,29,30,23,24,19,24,22,20
螺絲小姐要出嫁,16,54,51,44,36,33,30,21,22,19,15,15,13
螺絲小姐要出嫁,17,49,49,37,24,26,22,14,15,10,20,22,15
螺絲小姐要出嫁,18,44,49,35,23,23,17,19,20,15,18,14,11
螺絲小姐要出嫁,19,48,46,37,29,30,26,16,19,15,17,21,13
螺絲小姐要出嫁,20,40,40,35,32,29,27,19,16,12,21,18,14
螺絲小姐要出嫁,21,41,38,29,19,25,18,15,14,11,12,16,13
螺絲小姐要出嫁,22,46,40,33,15,20,15,13,16,14,15,16,14
螺絲小姐要出嫁,23,59,65,51,28,22,18,23,20,14,19,20,14
國民英雄,1,100,100,64,26,33,100,12,29,25,11,25,10
國民英雄,2,59,66,32,32,39,36,25,26,11,24,27,10
國民英雄,3,57,64,31,24,33,13,22,32,9,21,30,8
國民英雄,4,39,42,17,28,36,11,28,31,10,27,29,10
國民英雄,5,35,40,19,28,35,18,31,31,9,29,26,9
國民英雄,6,26,30,13,18,27,9,17,25,7,16,24,7
國民英雄,7,22,27,16,21,26,9,21,25,7,20,25,6
國民英雄,8,2,23,8,2,20,7,2,19,6,2,18,6
國民英雄,9,4,23,13,4,22,7,4,21,6,5,21,6
國民英雄,10,20,31,10,6,11,9,6,11,8,6,11,6
國民英雄,11,22,26,13,21,26,11,20,24,6,18,22,10
國民英雄,12,24,26,10,20,25,14,16,25,8,14,25,6
國民英雄,13,9,24,9,7,23,8,6,22,7,6,22,7
國民英雄,14,18,28,15,17,25,12,14,25,7,15,24,7
國民英雄,15,9,19,10,10,16,9,11,16,6,9,16,6
國民英雄,16,9,24,10,9,24,8,9,24,7,8,24,6
國民英雄,17,16,26,10,10,25,7,9,23,7,7,23,6
國民英雄,18,11,24,7,11,18,7,11,18,6,9,16,6
國民英雄,19,15,29,11,16,28,7,9,24,7,9,24,7
金大花的華麗冒險,1,93,86,100,20,18,16,11,14,18,6,7,10
金大花的華麗冒險,2,100,100,98,47,47,44,14,14,15,10,12,19
金大花的華麗冒險,3,95,92,77,57,58,50,16,18,18,13,17,13
金大花的華麗冒險,4,91,99,92,39,34,37,13,15,14,9,12,10
金大花的華麗冒險,5,82,82,76,29,30,30,8,8,10,14,17,13
金大花的華麗冒險,6,49,57,49,43,44,38,21,25,22,13,14,13
金大花的華麗冒險,7,64,64,66,31,35,31,13,15,16,13,12,15
金大花的華麗冒險,8,56,57,54,26,28,25,14,14,14,9,11,12
金大花的華麗冒險,9,55,64,57,37,41,31,13,15,12,16,18,15
金大花的華麗冒險,10,52,54,42,34,42,37,11,18,9,18,21,15
金大花的華麗冒險,11,55,56,47,40,53,38,10,21,8,16,18,14
金大花的華麗冒險,12,63,71,60,26,33,36,21,27,17,10,17,11
金大花的華麗冒險,13,49,60,43,27,40,26,21,35,18,17,55,15
金大花的華麗冒險,14,48,67,49,32,38,27,18,26,15,17,21,11
金大花的華麗冒險,15,54,69,45,27,57,22,15,43,15,17,32,14
金大花的華麗冒險,16,55,62,56,28,29,25,18,22,16,12,13,13
金大花的華麗冒險,17,69,71,63,28,27,25,21,19,17,18,17,16
金大花的華麗冒險,18,76,72,64,28,37,30,20,27,18,17,26,18
金大花的華麗冒險,19,62,63,58,26,31,26,12,16,12,19,19,14
金大花的華麗冒險,20,82,79,66,36,37,30,16,17,15,18,18,14
金大花的華麗冒險,21,89,81,74,36,37,37,12,15,13,19,21,16
我租了一個情人,1,30,43,34,5,16,10,7,14,10,15,25,34
我租了一個情人,2,27,32,33,25,33,32,26,28,25,39,46,44
我租了一個情人,3,22,23,25,13,15,15,17,22,18,23,30,25
我租了一個情人,4,16,17,21,13,21,15,13,16,15,19,23,28
我租了一個情人,5,17,25,21,15,17,18,13,18,15,20,25,21
我租了一個情人,6,14,26,18,8,16,9,10,16,14,16,26,15
我租了一個情人,7,13,23,17,11,16,17,9,17,22,15,21,27
我租了一個情人,8,25,41,29,13,43,19,10,20,16,14,20,15
我租了一個情人,9,18,37,19,13,43,18,18,52,23,25,51,30
我租了一個情人,10,25,35,27,17,31,20,14,31,18,22,43,27
我租了一個情人,11,33,39,39,17,28,25,15,30,17,21,34,28
我租了一個情人,12,25,33,33,16,31,20,23,32,25,31,40,33
我租了一個情人,13,19,29,22,14,20,16,12,19,14,17,25,19
我租了一個情人,14,20,29,21,12,20,22,14,22,19,16,25,19
我租了一個情人,15,27,35,33,12,16,18,9,15,28,20,23,27
大紅帽與小野狼,1,30,41,41,26,17,17,23,13,18,19,13,18
大紅帽與小野狼,2,28,22,29,28,20,15,28,17,15,32,33,43
大紅帽與小野狼,3,20,20,28,17,17,18,21,20,21,20,13,29
大紅帽與小野狼,4,16,13,21,16,11,14,16,11,14,25,24,33
大紅帽與小野狼,5,34,29,32,29,19,26,23,12,17,18,18,28
大紅帽與小野狼,6,37,36,48,26,15,42,15,14,19,21,21,27
大紅帽與小野狼,7,21,15,21,16,17,17,15,17,20,16,15,24
大紅帽與小野狼,8,23,20,24,22,15,21,22,15,18,22,14,15
大紅帽與小野狼,9,27,21,24,24,12,19,21,12,14,19,14,20
大紅帽與小野狼,10,10,21,21,0,17,19,0,13,8,0,12,8
大紅帽與小野狼,11,24,21,19,24,17,17,24,12,16,24,13,22
大紅帽與小野狼,12,21,13,19,18,12,18,17,12,19,15,12,16
大紅帽與小野狼,13,23,23,47,23,19,26,22,11,19,21,19,30
大紅帽與小野狼,14,27,17,15,25,16,27,22,13,56,20,14,19
大紅帽與小野狼,15,21,21,24,14,18,15,18,17,28,19,18,25
大紅帽與小野狼,16,20,21,21,19,12,16,18,15,21,19,19,20
