Drama,Episode,Post_0,Like_0,Comment_0,Share_0,Post_1,Like_1,Comment_1,Share_1,Post_2,Like_2,Comment_2,Share_2,Post_3,Like_3,Comment_3,Share_3
真愛找麻煩,65,1372,17915,1848,0,1249,35606,2093,0,592,11957,1330,0,1467,32593,3359,213
真愛找麻煩,66,1325,39326,2548,0,1372,17915,1848,0,1249,35606,2093,0,592,11957,1330,0
真愛找麻煩,67,1130,28165,2124,0,1325,39326,2548,0,1372,17915,1848,0,1249,35606,2093,0
真愛找麻煩,68,1307,20998,1911,0,1130,28165,2124,0,1325,39326,2548,0,1372,17915,1848,0
真愛找麻煩,69,937,36933,1592,0,290,6539,933,0,490,10095,1326,0,1307,20998,1911,0
真愛找麻煩,70,866,35365,1701,0,937,36933,1592,0,290,6539,933,0,490,10095,1326,0
真愛找麻煩,71,928,25871,1509,0,866,35365,1701,0,937,36933,1592,0,290,6539,933,0
真愛找麻煩,72,732,31440,1487,0,928,25871,1509,0,866,35365,1701,0,937,36933,1592,0
真愛找麻煩,73,634,19873,2069,0,732,31440,1487,0,928,25871,1509,0,866,35365,1701,0
真愛找麻煩,74,516,35128,2012,0,178,3041,480,0,252,4562,823,0,634,19873,2069,0
真愛找麻煩,75,472,17477,980,0,516,35128,2012,0,178,3041,480,0,252,4562,823,0
真愛找麻煩,76,433,39158,1218,0,472,17477,980,0,516,35128,2012,0,178,3041,480,0
真愛找麻煩,77,570,26303,1159,0,433,39158,1218,0,472,17477,980,0,516,35128,2012,0
真愛找麻煩,78,820,30594,1213,0,570,26303,1159,0,433,39158,1218,0,472,17477,980,0
真愛找麻煩,79,680,37345,1833,0,217,5266,562,0,518,71651,1878,0,820,30594,1213,0
真愛找麻煩,80,778,21254,1315,0,680,37345,1833,0,217,5266,562,0,518,71651,1878,0
真愛找麻煩,81,972,17269,1452,0,778,21254,1315,0,680,37345,1833,0,217,5266,562,0
真愛找麻煩,82,804,24766,1324,0,972,17269,1452,0,778,21254,1315,0,680,37345,1833,0
真愛找麻煩,83,871,29903,1692,0,804,24766,1324,0,972,17269,1452,0,778,21254,1315,0
真愛找麻煩,84,1408,55715,1308,0,356,10154,433,0,446,25607,1376,0,871,29903,1692,0
剩女保鑣,1,93,46655,747,1268,16,27706,256,607,14,11044,83,235,1,787,10,20
剩女保鑣,2,66,9924,211,79,93,46655,747,1268,16,27706,256,607,14,11044,83,235
剩女保鑣,3,74,15302,248,298,66,9924,211,79,93,46655,747,1268,16,27706,256,607
剩女保鑣,4,64,10515,282,192,74,15302,248,298,66,9924,211,79,93,46655,747,1268
剩女保鑣,5,70,36980,588,1315,15,13766,148,138,26,20710,409,901,64,10515,282,192
剩女保鑣,6,83,22210,364,630,70,36980,588,1315,15,13766,148,138,26,20710,409,901
剩女保鑣,7,103,29961,508,298,83,22210,364,630,70,36980,588,1315,15,13766,148,138
剩女保鑣,8,126,67529,913,3436,103,29961,508,298,83,22210,364,630,70,36980,588,1315
剩女保鑣,9,120,71648,1592,3474,126,67529,913,3436,103,29961,508,298,83,22210,364,630
剩女保鑣,10,63,41296,426,713,31,26672,211,343,52,8547,130,273,120,71648,1592,3474
剩女保鑣,11,104,21636,411,355,63,41296,426,713,31,26672,211,343,52,8547,130,273
